4.32E-21	0	7.87E-21	5.11E-21	3.168048015	1.12E-02	1.486317793	0.254270866	1.620345368	1.49E-02	3.08E-20	2.91E-20	2.20E-04	0.226476021	1.17E-02	3.59E-02	1.70E-02	2.700107946	8.26E-03	0.138617495	8.19E-04	2.90E-05	1.07E-05	2.42E-05	1.84E-05	8.74E-06	3.88E-06	3.27E-06	1.33E-06	1.83E-05	1.28E-05	1.91E-05	1.48E-06
4.31E-21	0	7.84E-21	5.09E-21	3.336722476	1.56E-02	1.565612457	0.261320703	1.710059391	1.57E-02	3.07E-20	2.90E-20	3.81E-04	0.234380441	1.20E-02	3.81E-02	1.87E-02	2.851426078	8.70E-03	0.147702871	9.34E-04	3.77E-05	2.03E-05	2.49E-05	1.90E-05	9.23E-06	3.97E-06	3.35E-06	1.36E-06	1.87E-05	1.32E-05	1.99E-05	1.60E-06
4.28E-21	0	7.79E-21	5.06E-21	3.498044186	1.98E-02	1.641371718	0.268299762	1.795648342	1.65E-02	3.05E-20	2.88E-20	5.86E-04	0.242060085	1.24E-02	4.02E-02	2.03E-02	2.996172715	9.12E-03	0.156332236	1.04E-03	4.60E-05	3.58E-05	2.57E-05	1.96E-05	9.71E-06	4.06E-06	3.42E-06	1.39E-06	1.91E-05	1.36E-05	2.07E-05	1.73E-06
4.26E-21	0	7.74E-21	5.03E-21	3.65280653	2.39E-02	1.714096001	0.275211789	1.8775404	1.72E-02	3.04E-20	2.86E-20	8.39E-04	0.249593577	1.27E-02	4.21E-02	2.18E-02	3.134956496	9.53E-03	0.164551818	1.15E-03	5.40E-05	5.69E-05	2.64E-05	2.01E-05	1.02E-05	4.16E-06	3.49E-06	1.42E-06	1.95E-05	1.39E-05	2.15E-05	1.84E-06
4.23E-21	0	7.70E-21	5.00E-21	3.801791852	2.78E-02	1.784078836	0.282194192	1.956179155	1.79E-02	3.02E-20	2.85E-20	1.13E-03	0.257022653	1.31E-02	4.41E-02	2.33E-02	3.268881164	9.92E-03	0.172431741	1.24E-03	6.15E-05	8.10E-05	2.71E-05	2.07E-05	1.06E-05	4.25E-06	3.56E-06	1.45E-06	1.99E-05	1.43E-05	2.22E-05	1.95E-06
4.20E-21	0	7.64E-21	4.97E-21	3.946826002	3.14E-02	1.852309613	0.289272503	2.032430082	1.86E-02	3.00E-20	2.83E-20	1.46E-03	0.264450156	1.34E-02	4.59E-02	2.47E-02	3.399259648	1.03E-02	0.180028863	1.34E-03	6.86E-05	1.06E-04	2.79E-05	2.12E-05	1.10E-05	4.35E-06	3.63E-06	1.49E-06	2.04E-05	1.47E-05	2.30E-05	2.06E-06
4.17E-21	0	7.59E-21	4.93E-21	4.089175832	3.49E-02	1.919084319	0.296541998	2.107134145	1.93E-02	2.98E-20	2.81E-20	1.79E-03	0.271927555	1.38E-02	4.77E-02	2.60E-02	3.526517974	1.07E-02	0.187411242	1.43E-03	7.54E-05	1.30E-04	2.86E-05	2.18E-05	1.14E-05	4.45E-06	3.71E-06	1.52E-06	2.08E-05	1.51E-05	2.37E-05	2.16E-06
4.14E-21	0	7.53E-21	4.89E-21	4.229896665	3.81E-02	1.985128015	0.304183832	2.180639166	2.00E-02	2.95E-20	2.79E-20	2.12E-03	0.279560578	1.41E-02	4.95E-02	2.73E-02	3.652317655	1.10E-02	0.194663064	1.51E-03	8.18E-05	1.53E-04	2.93E-05	2.24E-05	1.19E-05	4.56E-06	3.79E-06	1.55E-06	2.13E-05	1.54E-05	2.44E-05	2.26E-06
4.10E-21	0	7.46E-21	4.85E-21	4.370405864	4.13E-02	2.050784409	0.31222378	2.253928024	2.07E-02	2.92E-20	2.76E-20	2.43E-03	0.287425947	1.45E-02	5.12E-02	2.85E-02	3.777119894	1.14E-02	0.201838093	1.59E-03	8.80E-05	1.75E-04	3.01E-05	2.30E-05	1.23E-05	4.68E-06	3.88E-06	1.59E-06	2.18E-05	1.58E-05	2.52E-05	2.36E-06
4.07E-21	0	7.40E-21	4.81E-21	4.512336843	4.43E-02	2.117054155	0.320844789	2.327625883	2.14E-02	3.86E-03	2.74E-20	2.73E-03	0.295611008	1.49E-02	5.30E-02	2.97E-02	3.902823275	1.18E-02	0.20899472	1.67E-03	9.39E-05	1.96E-04	3.09E-05	2.36E-05	1.27E-05	4.80E-06	3.97E-06	1.63E-06	2.23E-05	1.63E-05	2.59E-05	2.45E-06
